start eating,1.4285693877580174e-06
say say,5.71427755103207e-06
crab bisque,-1.4285693877580174e-06
fries potato,0.0
dietary needs,7.142846938790087e-06
hot crispy,2.857138775516035e-06
saying go,-1.4285693877580174e-06
eating food,1.4285693877580174e-06
sized pieces,0.0
belly bao,-5.71427755103207e-06
house decided,1.4285693877580174e-06
typical restaurant,4.285708163274053e-06
bit sweet,-1.4285693877580174e-06
sushi quality,-1.4285693877580174e-06
walking distance,-2.857138775516035e-06
rice fried,-2.857138775516035e-06
customers really,2.857138775516035e-06
patio wonderful,-1.4285693877580174e-06
well especially,1.4285693877580174e-06
decent little,-5.71427755103207e-06
delicious cooked,5.71427755103207e-06
taco shell,-5.71427755103207e-06
end result,-1.4285693877580174e-06
people lunch,-5.71427755103207e-06
sat good,4.285708163274053e-06
meal given,1.4285693877580174e-06
ok wife,4.285708163274053e-06
love mushrooms,2.857138775516035e-06
stuffed grape,0.0
textures flavors,4.285708163274053e-06
get quality,1.4285693877580174e-06
three pieces,-2.857138775516035e-06
night manager,-4.285708163274053e-06
italian fare,-2.857138775516035e-06
service waitress,0.0
sauce etc,-5.71427755103207e-06
everything went,-1.4285693877580174e-06
breakfast burritos,-2.857138775516035e-06
living room,-2.857138775516035e-06
still get,5.71427755103207e-06
order paid,2.857138775516035e-06
brisket dry,-9.999985714306123e-06
bottomless mimosas,-2.857138775516035e-06
chicken maybe,-7.142846938790087e-06
overall fantastic,4.285708163274053e-06
flavor know,-5.71427755103207e-06
else know,5.71427755103207e-06
one found,-1.4285693877580174e-06
place earth,4.285708163274053e-06
dinner recently,-4.285708163274053e-06
4 servers,0.0
meal good,2.857138775516035e-06
best friends,-2.857138775516035e-06
kitchen slow,-4.285708163274053e-06
tequila selection,4.285708163274053e-06
wine nice,1.4285693877580174e-06
food disappoint,5.71427755103207e-06
amazing far,-1.4285693877580174e-06
one bothered,-5.71427755103207e-06
hot chocolates,-2.857138775516035e-06
week food,4.285708163274053e-06
day usually,0.0
butter syrup,-1.4285693877580174e-06
seats inside,4.285708163274053e-06
pretty quickly,0.0
waitress says,-2.857138775516035e-06
answer yes,-2.857138775516035e-06
ask refill,2.857138775516035e-06
main courses,4.285708163274053e-06
plate really,2.857138775516035e-06
visiting pittsburgh,-4.285708163274053e-06
delivery charge,0.0
ever entire,4.285708163274053e-06
noodles soup,0.0
small great,-5.71427755103207e-06
experience nothing,1.4285693877580174e-06
finally someone,-1.4285693877580174e-06
dip chicken,0.0
along strip,-2.857138775516035e-06
back everyone,1.4285693877580174e-06
burrito beans,-5.71427755103207e-06
6 wings,5.71427755103207e-06
plenty food,5.71427755103207e-06
bread dipping,7.142846938790087e-06
food available,-4.285708163274053e-06
might miss,7.142846938790087e-06
great boyfriend,8.571416326548106e-06
butter cup,0.0
white castle,-1.4285693877580174e-06
selections good,-2.857138775516035e-06
perfectly soft,2.857138775516035e-06
usually love,-1.5714263265338192e-05
though portions,2.857138775516035e-06
time really,-4.285708163274053e-06
restaurant neighborhood,0.0
especially vegas,2.857138775516035e-06
things note,1.4285693877580174e-06
cream sandwich,-1.4285693877580174e-06
good scallops,-2.857138775516035e-06
empty drink,0.0
corn muffins,-5.71427755103207e-06
one 10,2.857138775516035e-06
time finishing,2.857138775516035e-06
know thing,-2.857138775516035e-06
ramen shop,7.142846938790087e-06
picky food,5.71427755103207e-06
per week,5.71427755103207e-06
us long,0.0
table space,7.142846938790087e-06
yelp found,-7.142846938790087e-06
minutes could,1.4285693877580174e-06
fettuccine alfredo,-2.857138775516035e-06
20 times,1.4285693877580174e-06
home hungry,-7.142846938790087e-06
lots seafood,1.4285693877580174e-06
chicken well,1.4285693877580174e-06
made back,2.857138775516035e-06
sauce loved,2.857138775516035e-06
etc think,-1.4285693877580174e-06
outside juicy,4.285708163274053e-06
drink 1,-2.857138775516035e-06
drink 3,1.4285693877580174e-06
drink 2,1.4285693877580174e-06
drink 5,-2.857138775516035e-06
drink 4,1.4285693877580174e-06
drink 7,1.4285693877580174e-06
drink 6,4.285708163274053e-06
right oven,-2.857138775516035e-06
flavor back,1.4285693877580174e-06
make sick,0.0
could well,-1.4285693877580174e-06
fantastic selection,5.71427755103207e-06
around 3,-1.4285693877580174e-06
ok better,-8.571416326548106e-06
around 1,2.857138775516035e-06
natural flavor,-2.857138775516035e-06
