,0.0
fawn,2.631577562327599e-06
gai,-1.5789465373965592e-06
saimin,3.6842085872586383e-06
askew,-2.105262049862079e-06
woods,-1.5789465373965592e-06
clotted,-1.0526310249310395e-06
spiders,-5.263155124655198e-07
hanging,4.736839612189678e-06
paiza,1.5789465373965592e-06
woody,4.736839612189678e-06
northsight,1.5789465373965592e-06
comically,2.105262049862079e-06
gae,5.263155124655198e-07
sevens,1.0526310249310395e-06
canes,-5.263155124655198e-07
chatter,3.6842085872586383e-06
scold,1.5789465373965592e-06
originality,1.0526310249310395e-06
refunding,-5.263155124655198e-07
caned,-1.0526310249310395e-06
calpico,1.5789465373965592e-06
bruschetta,-1.5789465373965592e-06
stipulate,-1.0526310249310395e-06
fattiness,1.0526310249310395e-06
holyrood,3.1578930747931184e-06
taj,-2.631577562327599e-06
bringing,5.789470637120717e-06
tcby,-5.263155124655198e-07
revelers,-1.5789465373965592e-06
wooded,3.1578930747931184e-06
spacy,0.0
grueling,-8.421048199448316e-06
broiler,0.0
wooden,1.5789465373965592e-06
wholemeal,1.5789465373965592e-06
condessa,5.263155124655198e-07
wednesday,-4.210524099724158e-06
broiled,1.5789465373965592e-06
tak,1.5789465373965592e-06
crotch,1.5789465373965592e-06
chimchurri,5.263155124655198e-07
stereotypical,-7.3684171745172765e-06
caramelo,-5.263155124655198e-07
bbqs,-2.631577562327599e-06
chimichuri,0.0
expeirence,0.0
blynk,0.0
complainers,7.894732686982796e-06
scraper,-2.105262049862079e-06
270,2.105262049862079e-06
274,-5.263155124655198e-07
275,2.631577562327599e-06
277,1.0526310249310395e-06
scraped,-9.473679224379356e-06
snuggled,0.0
errors,-5.789470637120717e-06
deferred,-5.263155124655198e-07
reeling,-2.105262049862079e-06
cyprus,5.263155124655198e-06
cooking,-4.736839612189678e-06
huong,-3.1578930747931184e-06
salsify,0.0
designing,-4.736839612189678e-06
magees,-5.263155124655198e-07
hallucinating,1.0526310249310395e-06
succumb,1.0526310249310395e-06
shocks,-1.5789465373965592e-06
chins,1.5789465373965592e-06
brainwashed,-2.105262049862079e-06
ching,-1.0526310249310395e-06
china,3.1578930747931184e-06
wagyu,2.105262049862079e-06
affiliated,-2.105262049862079e-06
babaganoosh,-1.0526310249310395e-06
bumbleberry,5.263155124655198e-07
wiseguy,-5.263155124655198e-07
natured,0.0
reggae,1.0526310249310395e-06
kids,3.1578930747931184e-06
uplifting,-1.5789465373965592e-06
robata,3.1578930747931184e-06
climbed,2.105262049862079e-06
omellette,1.5789465373965592e-06
controversy,-5.263155124655198e-07
spotty,-6.315786149586237e-06
golden,1.0526310249310395e-06
cobblers,5.263155124655198e-06
projection,3.1578930747931184e-06
orangish,-4.210524099724158e-06
conditions,-1.0526310249310395e-06
stern,-1.5789465373965592e-06
battista,-6.315786149586237e-06
agassi,0.0
dna,2.631577562327599e-06
dnc,0.0
catchy,-5.789470637120717e-06
abbreviations,-5.263155124655198e-07
cannibal,1.5789465373965592e-06
dnt,0.0
music,2.631577562327599e-06
therefore,-9.999994736844875e-06
violently,-7.894732686982796e-06
populations,-5.263155124655198e-07
kneader,-1.0526310249310395e-06
crooner,-1.0526310249310395e-06
yahoo,-1.5789465373965592e-06
felipes,-5.263155124655198e-07
buffallo,-5.263155124655198e-07
unpack,5.263155124655198e-07
exhorbitant,-1.0526310249310395e-06
circumstances,-5.263155124655198e-06
intake,-2.631577562327599e-06
morally,2.631577562327599e-06
locked,-1.1052625761775915e-05
toxins,-5.263155124655198e-07
locker,2.631577562327599e-06
busyness,-1.5789465373965592e-06
tomahawk,1.0526310249310395e-06
matilda,2.631577562327599e-06
yummily,1.0526310249310395e-06
capsaicin,3.1578930747931184e-06
wang,-6.842101662051757e-06
wand,3.6842085872586383e-06
pints,1.5789465373965592e-06
kaprow,1.5789465373965592e-06
papillote,0.0
dunkin,1.0526310249310395e-06
diappointed,-5.263155124655198e-07
wans,0.0
callin,1.5789465373965592e-06
want,1.5789465373965592e-06
cookers,0.0
copycat,-1.0526310249310395e-06
pinto,3.6842085872586383e-06
cookery,1.0526310249310395e-06
absolute,2.631577562327599e-06
mcmuffin,-6.315786149586237e-06
sugarless,0.0
travel,-2.105262049862079e-06
copious,-7.894732686982796e-06
callie,0.0
exelent,1.0526310249310395e-06
barstools,2.105262049862079e-06
topings,1.0526310249310395e-06
cadence,0.0
bombbb,4.210524099724158e-06
taguara,5.263155124655198e-07
eggrolls,8.421048199448316e-06
dinosaurs,-5.263155124655198e-07
modest,4.210524099724158e-06
promotion,-4.736839612189678e-06
colorfully,-5.263155124655198e-07
sickening,-4.210524099724158e-06
tulip,5.263155124655198e-07
18th,-2.105262049862079e-06
concoction,1.2105256786706955e-05
chandon,-5.263155124655198e-07
tantalizing,3.1578930747931184e-06
nonsensical,2.105262049862079e-06
rawhide,-1.5789465373965592e-06
zan,-5.263155124655198e-07
welcomed,4.210524099724158e-06
spagos,5.263155124655198e-07
whizzing,1.5789465373965592e-06
partnered,-1.0526310249310395e-06
tillamook,5.263155124655198e-07
zam,1.0526310249310395e-06
apoligized,5.263155124655198e-07
avondale,1.5789465373965592e-06
welcomes,0.0
fir,2.631577562327599e-06
wickedly,5.263155124655198e-07
